LINK,ID da resposta,Data de envio,Última página,Idioma inicial,Semente,Código de Acesso,Data de início,Data da última ação,GENERO,IDADE,RENDA,ESCOLARIDADE,COMP/CEL,TEM INSTA?,Com qual frequência acessa o aplicativo? [Eventualmente],Com qual frequência acessa o aplicativo? [Até 1 vez por semana],Com qual frequência acessa o aplicativo? [Mais de uma vez por semana],Com qual frequência acessa o aplicativo? [Pelo menos uma vez por dia],Com qual frequência acessa o aplicativo? [Mais de uma vez por dia],"Você segue algum perfil de espaço cultural (Ex.: Teatro, Cinema, Casa de Show, Museu, Galeria de Arte, etc...) no Instagram?","Se você segue algum perfil de espaço cultural no Instagram, por favor, se puder, insira aqui o nome do perfil que considera acompanhar com maior frequência.",CON1,CON2,CON3,CON4,CON5,CON6,CON7,INT1,INT2,INT3,INT4,INF1,INF2,INF3,INF4,INF5,INF6,INF7,INC1,INC2,INC3,INC4,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ENG7,ENG8,ENG9,ENG10,ENT1,ENT2,ENT3,ENT4,COM1,COM2,COM3,CONF1,CONF2,CONF3,CONF4,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8,ENV9,ENV10,0
INT,335,2021-06-19 17:03:38,7,pt-BR,1455390746,QK9uN8e8A7qdR5Q,2021-06-19 16:57:56,2021-06-19 17:03:38,Feminino,26,Acima de 3 e até 5 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Um filme me dissw,3,6,5,3,4,5,7,3,2,4,5,5,5,5,5,4,5,4,1,1,1,1,4,3,6,7,6,5,6,3,5,5,5,6,7,6,3,6,2,6,5,7,7,6,7,7,6,5,6,6,5,7,5,1
INT,589,2021-06-20 15:55:32,7,pt-BR,152507961,3AVyMyspI7qcsra,2021-06-20 15:50:52,2021-06-20 15:55:32,Masculino,24,Acima de 3 e até 5 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Sim,Não,Não,Sim,Não,Sim,"Sala Pos Cirurgica, Centro Flutuante, Atelier Lume, Sesc e etc...",3,6,6,2,4,5,7,3,4,2,5,4,4,4,4,5,4,4,2,2,3,4,2,4,2,4,5,4,5,2,5,4,5,3,6,4,4,5,4,5,4,7,6,5,6,6,5,5,5,3,5,6,5,2
INT,23,2021-04-13 17:28:18,7,pt-BR,18102231,REdX6nkHe2wpzob,2021-04-13 17:08:37,2021-04-13 17:28:18,Feminino,40,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,"Gaeu, cine metropolis, gap",3,6,6,3,3,3,4,4,5,4,4,6,6,4,6,6,6,6,3,3,3,3,6,2,4,6,6,6,6,4,6,4,6,4,6,6,3,6,3,6,3,6,6,6,2,6,4,4,4,6,6,5,7,0
INT,10,2021-04-13 16:29:43,7,pt-BR,390319249,d8yydNyiirfTB5V,2021-04-13 16:22:33,2021-04-13 16:29:43,Masculino,55,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,casadebambavix,3,6,6,4,3,5,6,4,4,2,5,6,5,5,6,6,5,5,2,2,2,2,5,5,5,6,5,6,6,4,5,5,6,5,6,6,6,4,5,6,6,6,6,6,5,5,6,6,5,6,5,6,5,0
INT,911,2021-06-21 18:06:31,7,pt-BR,1930787471,DJa8wB3BUaMTLb3,2021-06-21 17:42:53,2021-06-21 18:06:31,Feminino,25,Acima de 3 e até 5 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,@siccastelo; @blx_bibliotecas_de_lisboa; @archaeologyart;,3,6,7,6,6,5,5,6,3,5,5,6,5,6,2,5,5,6,1,1,1,1,2,4,6,5,4,6,4,4,6,4,5,5,4,5,2,6,4,6,2,6,7,5,7,6,6,5,6,5,5,7,5,1
INT,692,2021-06-20 20:40:08,7,pt-BR,155895640,3x7apAHOzZIPtlb,2021-06-20 20:33:43,2021-06-20 20:40:08,Feminino,31,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Pinacotecasp,3,7,3,1,4,4,7,2,4,4,3,7,7,4,5,6,4,5,1,1,1,1,2,1,4,4,3,4,4,1,4,3,2,2,2,5,2,3,2,2,1,6,6,6,6,6,4,4,6,6,6,6,7,3
INT,441,2021-06-20 07:41:55,7,pt-BR,2092687109,fqePxpCJJvC8HDO,2021-06-20 07:36:46,2021-06-20 07:41:55,Masculino,46,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Museu,3,7,4,4,1,4,4,4,4,3,3,5,4,6,4,4,7,5,3,3,6,7,4,4,4,4,6,3,4,4,7,1,3,6,2,3,6,6,5,6,4,6,5,3,4,3,4,4,3,5,1,4,3,2
INT,959,2021-06-22 10:47:14,7,pt-BR,1064149306,3rrPzGYGbhnE290,2021-06-22 10:41:08,2021-06-22 10:47:14,Feminino,17,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,3,7,6,7,7,7,6,6,4,4,2,7,7,7,7,7,6,7,3,2,5,2,7,7,7,6,6,7,7,7,7,7,7,5,7,7,1,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,741,2021-06-21 00:34:34,7,pt-BR,2033127317,BQNagmZsIQq0zIU,2021-06-21 00:27:26,2021-06-21 00:34:34,Feminino,30,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Sim,Não,Não,Não,Não,Sim,,4,2,2,6,4,3,3,4,5,5,5,5,4,4,3,7,7,5,3,3,1,2,7,6,3,5,4,1,5,2,4,3,5,4,5,1,1,2,5,4,2,5,2,4,7,7,3,4,7,4,7,7,7,2
INT,188,2021-06-18 16:40:56,7,pt-BR,1047524371,rueXjCjnBcnlTzg,2021-06-18 16:33:37,2021-06-18 16:40:56,Masculino,37,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,CINEJARDINS,4,2,3,1,2,3,4,4,3,1,2,4,3,4,2,3,1,4,1,1,1,1,1,1,2,2,2,2,3,1,2,2,2,2,4,3,1,4,6,4,1,4,3,1,1,1,1,1,1,1,1,1,1,2
INT,597,2021-06-20 16:18:02,7,pt-BR,642560312,MhzYYpVh7op6I8J,2021-06-20 16:03:06,2021-06-20 16:18:02,Feminino,26,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Sim,Não,Não,Sim,Não,Sim,Sertanejobr,4,3,4,1,2,5,4,6,5,4,1,4,7,1,1,4,7,4,7,7,7,4,7,7,1,1,1,1,1,7,7,4,1,4,1,1,4,4,4,4,4,4,4,4,6,5,5,4,5,4,4,4,4,2
EXT,137,2021-05-20 21:22:36,7,pt-BR,2033838810,2021-05-20 21:11:47,2021-05-20 21:22:36,,Masculino,28,Acima de 10 e até 15 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Centro Cultural Eliziário Rangel,4,3,6,1,5,4,3,4,2,3,6,7,6,4,5,2,3,3,3,5,1,4,2,2,3,5,3,5,5,3,4,1,3,3,2,4,2,4,2,5,3,6,6,6,5,5,3,5,4,3,5,5,6,2
EXT,169,2021-05-21 22:37:03,7,pt-BR,617856362,2021-05-21 22:26:52,2021-05-21 22:37:03,,,41,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,4,4,1,1,2,5,7,1,1,7,7,7,5,5,6,6,5,5,2,1,2,5,1,1,5,4,4,4,4,4,5,4,3,5,4,2,1,1,1,6,2,7,6,5,5,6,5,4,4,5,5,6,4,4
INT,45,2021-04-13 20:52:08,7,pt-BR,1802266946,rOhGNm3DlvYZbPq,2021-04-13 20:43:49,2021-04-13 20:52:08,Masculino,63,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Sim,Não,Não,Não,Sim,GAEU.UFES,4,4,1,2,5,5,2,7,1,4,2,3,4,5,2,2,3,4,1,1,1,2,5,6,6,5,4,5,4,2,4,6,3,4,4,4,4,4,4,4,4,6,4,4,1,1,4,4,1,1,1,1,1,2
EXT,193,2021-05-25 14:12:12,7,pt-BR,400532723,2021-05-25 14:03:43,2021-05-25 14:12:12,,Feminino,25,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Masp,4,4,3,2,4,3,7,3,1,1,5,7,7,6,7,6,7,3,6,1,1,4,2,6,7,6,5,6,3,4,6,7,7,7,4,7,6,4,3,5,1,4,7,6,7,7,7,7,5,7,7,6,7,1
INT,1012,2021-06-24 08:09:14,7,pt-BR,1670688799,HecLzXIsWQV7HDW,2021-06-24 08:01:50,2021-06-24 08:09:14,Feminino,24,Acima de 1 e até 3 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"Cine São Mateus, Centro Cultural Araçá, Belas Artes SM",4,4,3,2,4,5,3,5,4,4,4,5,5,5,5,6,5,5,4,5,5,4,3,4,3,5,4,3,4,3,4,3,4,3,4,5,2,5,4,6,6,5,5,6,6,6,4,4,5,4,4,6,7,2
INT,1042,2021-06-30 08:35:00,7,pt-BR,1784095667,E8HjWsMTVVSw0mO,2021-06-30 08:25:33,2021-06-30 08:35:00,Masculino,32,Acima de 1 e até 3 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Sim,Não,Não,Não,Não,Sim,Espaço cultural de Iconha-ES e Anchieta-ES,4,4,4,1,2,6,4,1,5,2,4,2,4,4,2,7,4,6,2,1,1,2,2,2,6,6,6,6,5,2,7,2,3,2,2,2,2,7,4,7,6,7,7,6,4,6,3,3,6,3,6,3,7,4
EXT,51,2021-05-14 11:27:39,7,pt-BR,247913786,2021-05-14 11:20:04,2021-05-14 11:27:39,,Masculino,32,Acima de 1 e até 3 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Sedac_rs / tvcultura / ccmarioquintana,4,4,4,1,5,6,5,6,1,4,7,7,4,5,6,6,7,1,1,1,1,5,4,5,4,4,5,4,4,3,7,7,5,5,5,6,1,6,4,7,3,7,7,7,7,7,6,7,6,6,7,7,7,1
EXT,127,2021-05-20 19:05:38,7,pt-BR,283609573,2021-05-20 18:52:56,2021-05-20 19:05:38,,Masculino,33,Acima de 1 e até 3 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Sim,Não,Sim,"Cultura Renato Russo, CCBB",4,4,4,2,2,2,5,3,5,4,5,6,4,5,3,5,4,4,4,1,3,3,3,3,3,3,3,3,3,3,3,4,3,4,5,4,1,3,1,6,1,4,4,5,5,6,5,5,5,5,5,5,5,4
INT,125,2021-05-15 09:52:57,7,pt-BR,928661427,exb3VUe4azkkjdb,2021-05-15 09:24:10,2021-05-15 09:52:57,Feminino,21,Acima de 5 e até 10 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@montanamuseum,4,4,4,2,2,3,6,2,2,2,2,6,3,6,2,3,5,5,1,1,1,1,6,4,6,6,6,6,6,4,6,6,6,5,6,6,2,6,1,6,2,6,6,6,7,7,7,4,7,7,7,7,7,1
INT,1010,2021-06-23 21:30:08,7,pt-BR,1862943812,zX5VmMRa6ImOxFX,2021-06-23 21:22:04,2021-06-23 21:30:08,Feminino,20,Acima de 3 e até 5 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Sim,Não,Não,Sim,Sesc Glória,4,4,4,3,4,4,4,5,5,5,4,5,4,4,4,5,4,4,3,3,2,2,4,4,5,4,5,4,4,3,3,4,4,4,4,4,3,4,3,4,4,4,5,7,7,7,7,7,7,7,7,7,7,3
INT,628,2021-06-20 18:08:56,7,pt-BR,1237121777,QCHiRrZx7QTBpaN,2021-06-20 18:02:25,2021-06-20 18:08:56,Feminino,24,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,4,4,4,3,4,4,5,2,2,2,5,7,7,5,5,2,7,7,7,7,4,7,4,1,5,4,6,6,2,6,5,7,5,5,7,7,2,5,6,5,4,7,6,5,5,7,7,4,6,5,7,5,7,0
INT,362,2021-06-19 19:57:18,7,pt-BR,1836898406,DA8aaZ9PaW4qgsm,2021-06-19 19:52:12,2021-06-19 19:57:18,Masculino,43,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Sim,Não,Sim,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
INT,848,2021-06-21 11:51:38,7,pt-BR,2062788548,2xpL2ikam7zhwzh,2021-06-21 11:49:07,2021-06-21 11:51:38,Feminino,19,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Não,Não,Sim,Não,Não,Sim,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
INT,896,2021-06-21 16:22:24,7,pt-BR,572403451,Vz5CHUieNCXYyTP,2021-06-21 16:16:19,2021-06-21 16:22:24,Feminino,34,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Sim,Não,Não,Não,Sim,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
