LINK,ID da resposta,Data de envio,Última página,Idioma inicial,Semente,Código de Acesso,Data de início,Data da última ação,GENERO,IDADE,RENDA,ESCOLARIDADE,COMP/CEL,TEM INSTA?,Com qual frequência acessa o aplicativo? [Eventualmente],Com qual frequência acessa o aplicativo? [Até 1 vez por semana],Com qual frequência acessa o aplicativo? [Mais de uma vez por semana],Com qual frequência acessa o aplicativo? [Pelo menos uma vez por dia],Com qual frequência acessa o aplicativo? [Mais de uma vez por dia],"Você segue algum perfil de espaço cultural (Ex.: Teatro, Cinema, Casa de Show, Museu, Galeria de Arte, etc...) no Instagram?","Se você segue algum perfil de espaço cultural no Instagram, por favor, se puder, insira aqui o nome do perfil que considera acompanhar com maior frequência.",CON1,CON2,CON3,CON4,CON5,CON6,CON7,INT1,INT2,INT3,INT4,INF1,INF2,INF3,INF4,INF5,INF6,INF7,INC1,INC2,INC3,INC4,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ENG7,ENG8,ENG9,ENG10,ENT1,ENT2,ENT3,ENT4,COM1,COM2,COM3,CONF1,CONF2,CONF3,CONF4,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8,ENV9,ENV10,0
INT,482,2021-06-20 10:52:02,7,pt-BR,378207209,5B0uD1xEaR0R2Ha,2021-06-20 10:45:56,2021-06-20 10:52:02,Feminino,19,Acima de 10 e até 15 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Sim,Não,Não,Sim,,4,5,3,2,5,5,5,1,2,2,2,5,1,4,1,5,3,4,1,1,1,1,1,4,6,5,3,4,3,1,4,4,6,6,7,6,1,4,2,4,1,4,5,6,7,7,7,6,7,7,7,7,6,3
INT,831,2021-06-21 10:55:05,7,pt-BR,1009693586,oHu4tNywZiNcXB3,2021-06-21 10:43:30,2021-06-21 10:55:05,Masculino,48,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"Sigo perfis de músicos; @sesiculturaes; @ufesoficial, etc",4,5,4,1,1,3,5,4,1,4,2,1,4,5,1,7,5,7,1,1,1,1,1,3,4,7,5,5,4,1,4,5,6,1,6,5,4,7,3,7,4,7,6,4,5,3,5,4,5,4,4,4,4,4
INT,526,2021-06-20 12:54:08,7,pt-BR,284785470,vSYobo7XeviFu6z,2021-06-20 12:43:24,2021-06-20 12:54:08,Masculino,33,Acima de 3 e até 5 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,,4,5,4,1,2,3,5,3,5,7,4,7,7,4,3,4,2,4,1,5,4,4,1,4,5,4,5,5,3,1,4,4,6,5,5,3,1,4,2,4,1,5,4,2,7,4,6,4,6,5,5,6,4,2
EXT,148,2021-05-21 13:17:48,7,pt-BR,103771974,2021-05-21 13:10:28,2021-05-21 13:17:48,,Feminino,36,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Sim,Não,Sim,"Sescgloria, ccbb, masp",4,5,4,2,3,4,4,1,1,1,1,3,5,5,3,7,6,1,2,3,1,5,1,1,2,3,3,4,5,1,1,3,3,4,3,5,1,5,5,5,1,6,6,6,5,6,4,5,5,5,5,5,7,4
INT,995,2021-06-23 04:32:42,7,pt-BR,1111090596,xIMNmmG0POcssqq,2021-06-23 04:25:51,2021-06-23 04:32:42,Masculino,21,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,4,5,4,4,4,4,5,4,4,4,4,6,7,7,5,7,6,4,4,4,4,4,4,4,4,5,5,4,4,4,6,5,4,5,6,5,7,5,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,1
EXT,120,2021-05-19 22:21:54,7,pt-BR,303220426,2021-05-19 22:08:13,2021-05-19 22:21:54,,Feminino,30,Acima de 3 e até 5 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"Museu de artes visuais Ruth Schneider; Museu Zoobotânico Augusto Ruschi, Museu Histórico Regionalal",4,5,4,4,4,5,5,7,6,6,6,7,6,5,4,5,6,4,1,1,1,1,1,1,3,5,5,5,5,3,4,2,5,5,5,4,2,7,4,7,6,7,7,7,5,6,5,5,5,4,6,4,7,1
EXT,118,2021-05-19 15:07:27,7,pt-BR,1689966453,2021-05-19 15:02:26,2021-05-19 15:07:27,,Feminino,31,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,Bienal de São Paulo,4,5,4,4,6,5,5,7,7,4,6,7,4,6,6,4,6,6,1,1,1,1,6,4,6,6,4,6,5,4,5,4,6,6,4,6,4,6,4,7,1,6,7,7,7,7,7,5,7,7,7,7,7,1
EXT,176,2021-05-22 18:39:07,7,pt-BR,1111737909,2021-05-22 18:23:39,2021-05-22 18:39:07,,Feminino,31,Acima de 1 e até 3 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,4,5,4,4,7,4,4,5,4,4,4,3,4,4,5,1,4,4,4,4,5,7,4,5,5,3,6,5,6,6,2,3,4,5,5,4,3,3,4,4,2,6,5,7,5,7,4,5,7,1,5,7,7,0
EXT,139,2021-05-20 21:43:23,7,pt-BR,2129010514,2021-05-20 21:37:22,2021-05-20 21:43:23,,Masculino,36,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Sim,Não,Não,Sim,,4,5,4,5,4,4,4,4,4,3,5,6,5,5,4,5,5,4,2,2,3,2,2,2,3,4,4,4,4,2,3,2,4,4,4,3,2,5,4,5,4,5,5,6,6,6,4,4,4,5,6,4,6,4
INT,767,2021-06-21 07:58:40,7,pt-BR,2006345063,lv4MEjhEOuhVTuE,2021-06-21 07:51:39,2021-06-21 07:58:40,Feminino,44,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"teatro gloria,",4,5,5,1,2,4,4,2,4,1,2,3,6,6,5,7,7,2,1,4,4,1,1,2,2,6,4,3,7,1,2,4,5,6,5,1,1,4,2,4,4,7,7,7,7,6,3,2,7,7,7,7,7,3
INT,237,2021-06-18 22:51:42,7,pt-BR,686721954,V36DeqOG2JCguGB,2021-06-18 22:43:43,2021-06-18 22:51:42,Masculino,32,Acima de 3 e até 5 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Sesc,4,5,5,1,4,4,5,1,3,1,1,7,7,6,7,6,4,5,1,1,1,5,6,4,6,5,4,4,5,6,4,4,4,5,5,4,2,5,6,7,5,6,7,7,3,7,5,6,5,6,6,5,7,1
EXT,7,2021-05-13 18:42:58,7,pt-BR,1111413898,2021-05-13 18:35:15,2021-05-13 18:42:58,,Feminino,40,Acima de 3 e até 5 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Museu do Isolamento,4,5,5,1,4,5,6,4,4,4,4,6,5,7,7,1,5,6,1,1,1,1,1,1,1,3,4,5,5,1,5,1,6,6,5,6,1,1,1,6,5,4,4,7,7,7,7,7,7,1,7,7,7,3
INT,192,2021-06-18 16:57:03,7,pt-BR,1052445176,mEK2fSzwAV0fCm5,2021-06-18 16:52:01,2021-06-18 16:57:03,Masculino,33,Acima de 5 e até 10 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,4,5,5,1,5,5,5,5,5,5,5,5,5,5,2,5,5,5,2,2,2,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,3,3,6,4,5,5,7,7,7,7,7,7,7,7,7,7,1
INT,51,2021-04-14 07:55:36,7,pt-BR,632097267,v9KgSf1OOmbV9QX,2021-04-14 07:49:08,2021-04-14 07:55:36,Masculino,53,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"Tribuna, Gazeta, CBN.",4,5,5,2,3,4,5,5,6,5,6,5,4,3,5,5,5,5,4,4,3,3,4,3,5,4,4,5,4,3,5,5,5,3,3,5,3,4,3,5,5,5,4,6,5,6,5,4,6,5,5,5,6,0
INT,758,2021-06-21 07:27:13,7,pt-BR,1996127529,2z8ncxRfJ6eym2A,2021-06-21 07:20:26,2021-06-21 07:27:13,Feminino,20,Acima de 3 e até 5 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,,4,5,5,2,4,4,4,4,5,5,4,3,3,5,2,2,2,3,1,1,1,1,2,3,5,5,5,4,4,2,4,3,2,5,5,5,5,4,3,5,4,5,5,4,3,5,5,5,2,5,5,4,5,2
INT,1044,2021-07-02 09:03:47,7,pt-BR,287702378,UBJYCjzfrpaylzX,2021-07-02 08:57:16,2021-07-02 09:03:47,Masculino,44,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Sim,Não,Não,Sim,"GAP, Gaeu, MAES",4,5,5,2,4,5,5,2,5,5,4,7,5,6,4,6,4,5,2,1,1,3,7,5,6,5,5,6,5,5,5,5,3,5,5,5,5,2,5,5,5,7,7,6,5,6,5,7,5,4,5,5,6,0
EXT,121,2021-05-20 03:10:59,7,pt-BR,705747891,2021-05-20 03:05:41,2021-05-20 03:10:59,,Feminino,33,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,4,5,5,3,5,4,5,5,5,5,5,7,7,6,7,7,7,6,7,7,5,5,7,6,7,7,6,5,6,5,7,7,7,5,6,6,5,5,6,7,7,7,7,7,7,7,6,6,7,5,7,7,7,0
INT,1028,2021-06-26 11:33:56,7,pt-BR,1696874125,EypFsQ0WD8XRrF6,2021-06-26 11:24:00,2021-06-26 11:33:56,Feminino,18,Acima de 5 e até 10 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,4,5,5,4,5,5,5,3,3,3,3,6,5,5,6,6,6,5,1,2,6,1,4,3,6,5,4,5,4,6,4,4,6,6,6,6,3,4,4,6,5,6,5,6,6,6,6,6,5,6,6,6,6,1
EXT,100,2021-05-18 19:26:32,7,pt-BR,23572406,2021-05-18 19:18:43,2021-05-18 19:26:32,,Masculino,30,Acima de 3 e até 5 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,,4,5,6,2,3,6,6,2,3,3,5,1,5,6,3,4,4,5,1,2,1,1,3,3,5,4,4,4,5,4,5,4,4,3,5,5,4,5,3,6,3,7,7,7,7,6,4,6,4,5,7,5,7,3
INT,745,2021-06-21 01:46:46,7,pt-BR,1176336599,1aNc9I4Jq9OCZGg,2021-06-21 01:22:14,2021-06-21 01:46:46,Feminino,18,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Razões para acreditar,4,5,6,4,6,5,5,6,5,6,4,5,5,5,4,5,4,6,5,4,4,5,4,4,5,5,5,5,5,5,6,4,5,6,5,5,4,5,5,5,5,6,4,7,6,5,7,5,5,4,6,5,7,0
INT,624,2021-06-20 17:58:47,7,pt-BR,1972313479,w4Lgyl7DIWtGxoN,2021-06-20 17:44:39,2021-06-20 17:58:47,Feminino,46,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,@museudoamanha,4,5,7,4,6,5,5,7,4,4,4,7,7,7,7,7,7,4,1,4,1,1,4,4,4,5,5,6,4,4,5,5,4,5,5,7,4,7,4,7,4,7,7,7,7,6,5,4,5,6,7,6,6,1
INT,786,2021-06-21 08:49:41,7,pt-BR,404663423,PlQgJT1NXU6xm46,2021-06-21 08:46:18,2021-06-21 08:49:41,Feminino,24,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Sim,Não,Sim,,4,6,3,4,7,5,5,4,4,5,4,6,3,6,4,4,6,4,4,5,5,5,5,3,6,5,6,5,3,4,5,6,4,5,5,5,6,3,4,5,5,4,4,1,5,4,4,3,5,5,3,4,5,0
INT,4,2021-04-13 16:12:42,7,pt-BR,932771026,UZLxnyvyLKBG1E0,2021-04-13 16:01:06,2021-04-13 16:12:42,Feminino,36,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@masp,4,6,3,6,2,5,5,2,2,1,2,6,6,6,6,7,6,6,7,5,6,6,4,1,5,4,4,6,4,4,3,5,5,5,6,4,1,1,2,7,6,6,7,5,7,7,6,4,7,5,5,6,5,0
INT,1054,2021-07-12 16:38:14,7,pt-BR,1937325167,GAwOENmG50UnfTV,2021-07-12 16:29:15,2021-07-12 16:38:14,Feminino,30,Acima de 5 e até 10 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@sescgloria,4,6,4,1,2,3,3,3,1,1,1,6,5,3,2,7,7,5,1,4,1,1,1,2,1,1,2,3,2,5,6,5,4,4,4,2,2,7,2,6,3,5,6,7,5,5,5,4,5,4,6,4,6,4
INT,1006,2021-06-23 16:41:57,7,pt-BR,1150312421,Tdx4Y84NO6A5STF,2021-06-23 16:30:11,2021-06-23 16:41:57,Feminino,37,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"Sesi Cultura ES; Fundação Biblioteca Nacional; MASP, Pinacoteca; Biblioteca Mário de Andrade, Biblioteca de Cariacica, Bibliotecas Escolares PMVV, etc.",4,6,4,1,4,4,4,1,4,1,1,6,7,6,3,6,6,6,1,1,1,1,2,2,5,4,6,4,2,2,3,3,4,7,4,6,2,4,6,6,4,7,7,7,7,6,4,4,5,6,6,7,7,3
INT,73,2021-04-14 16:29:09,7,pt-BR,1805768283,wbsNVWtYRG7B7DQ,2021-04-14 16:21:18,2021-04-14 16:29:09,Feminino,39,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@liverpub,4,6,5,1,4,5,6,4,4,2,6,6,4,4,5,6,4,1,5,6,6,6,4,3,4,4,4,5,5,2,2,5,6,4,5,5,2,5,4,6,4,5,6,5,5,5,4,4,6,4,5,5,5,0
EXT,92,2021-05-18 15:32:04,7,pt-BR,47011510,2021-05-18 14:28:42,2021-05-18 15:32:04,,Feminino,27,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Sim,Não,Sim,"Núcleo espaço Limeira, MASP",4,6,5,4,5,5,4,5,4,2,5,5,2,5,5,5,3,2,1,1,1,2,3,2,4,3,5,4,5,3,5,2,4,3,4,3,2,5,2,4,2,5,6,5,5,7,5,6,6,6,6,5,7,4
INT,894,2021-06-21 16:06:37,7,pt-BR,332840453,Ra2YuHCXT7ZvQWL,2021-06-21 15:58:46,2021-06-21 16:06:37,Feminino,31,Acima de 1 e até 3 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,,4,6,5,6,5,5,5,5,5,4,4,3,5,4,4,6,4,5,2,5,3,3,6,3,4,4,4,5,4,3,4,4,5,4,5,5,2,3,2,3,4,4,4,6,6,6,6,6,6,6,6,6,6,0
INT,77,2021-04-14 18:41:48,7,pt-BR,226901459,XCzz7PjJiZLgbfy,2021-04-14 18:30:55,2021-04-14 18:41:48,Feminino,43,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,Masp; Pinacoteca;   Van Gogh museum,4,6,6,1,2,2,5,2,2,2,2,5,2,6,2,6,4,2,2,2,1,2,2,2,5,2,2,4,4,2,5,3,6,6,6,6,1,3,2,4,2,4,6,6,6,6,6,5,6,6,6,6,6,3
INT,612,2021-06-20 17:06:59,7,pt-BR,553333235,kPoQnabpfadgamc,2021-06-20 17:01:18,2021-06-20 17:06:59,Masculino,26,Até 1 salário mínimo,Ensino Superior,Computador/Notebook,Sim,Não,Não,Sim,Não,Não,Sim,@circovoador,4,6,6,2,6,6,6,2,2,2,4,6,4,4,5,7,5,4,4,4,5,1,1,1,5,5,6,6,5,2,5,4,6,5,6,4,4,4,4,5,4,6,4,4,2,5,6,4,5,5,6,7,5,0
INT,92,2021-04-16 08:07:30,7,pt-BR,198525317,fyxKQn08ABzGgCG,2021-04-16 08:02:01,2021-04-16 08:07:30,Masculino,52,Acima de 3 e até 5 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,Mosaico FotoGaleria,4,6,6,4,4,4,4,6,4,6,4,6,2,6,5,6,4,6,2,2,1,4,4,4,4,4,6,6,6,4,6,5,6,5,4,6,4,6,5,6,4,7,6,6,6,6,6,6,6,5,6,6,7,1
INT,533,2021-06-20 13:06:32,7,pt-BR,12097786,egUf97uDz25G4kc,2021-06-20 12:59:11,2021-06-20 13:06:32,Masculino,18,Acima de 3 e até 5 salários mínimos,Ensino Médio,Celular,Sim,Sim,Sim,Sim,Não,Não,Sim,,4,6,6,4,5,7,6,2,6,5,6,7,6,5,4,7,5,5,1,1,1,3,2,2,1,6,4,4,5,6,6,3,1,3,6,7,1,1,6,6,5,6,7,6,3,1,5,2,7,5,6,2,7,0
INT,135,2021-05-20 18:05:34,7,pt-BR,2048874751,Ya6VOPlnzcTAls9,2021-05-20 17:23:30,2021-05-20 18:05:34,Feminino,32,Acima de 5 e até 10 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,mcv.ufes,4,6,7,2,3,4,6,6,7,7,7,7,5,5,1,2,5,4,1,1,1,1,1,1,4,4,5,5,6,3,3,2,4,5,6,5,4,7,2,7,5,7,7,5,7,6,6,5,6,6,6,6,4,1
INT,696,2021-06-20 21:09:12,7,pt-BR,1828554303,jFrmriBvOjdzWDV,2021-06-20 20:52:29,2021-06-20 21:09:12,Masculino,35,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Sim,Não,Não,Não,Não,Sim,"Livraria Cristã, Fatos desconhecidos, Livro Cast, CPAD",4,7,2,1,1,1,7,1,5,1,1,6,7,7,4,7,7,7,1,7,1,1,1,7,1,7,6,7,1,1,1,7,1,7,1,1,1,2,1,7,2,7,7,7,7,7,5,7,7,7,7,7,7,3
INT,953,2021-06-22 09:55:18,7,pt-BR,1502722585,uNRIqGm7PRzyvzB,2021-06-22 09:45:14,2021-06-22 09:55:18,Feminino,29,Acima de 3 e até 5 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,concertotribanco,4,7,2,2,3,4,4,1,4,1,4,6,6,4,2,1,4,2,4,1,1,2,2,4,4,4,4,2,4,4,6,4,2,4,4,1,2,4,4,7,3,7,7,5,5,5,4,6,6,5,5,5,5,4
INT,977,2021-06-22 14:40:11,7,pt-BR,249368783,3d2O7h0c7AUDpeO,2021-06-22 14:32:34,2021-06-22 14:40:11,Feminino,36,Acima de 3 e até 5 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,@masp,4,7,5,2,4,4,7,4,4,4,3,7,5,5,2,4,5,5,1,2,1,2,4,2,4,5,5,6,5,2,6,5,5,4,5,6,2,2,2,6,2,6,6,1,1,7,5,6,7,7,1,6,7,4
INT,807,2021-06-21 09:57:12,7,pt-BR,1789223242,i7uSvWf4vtplOWd,2021-06-21 09:48:59,2021-06-21 09:57:12,Feminino,18,Acima de 5 e até 10 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@masp,4,7,5,3,5,5,7,4,2,3,3,7,6,6,4,6,6,6,4,4,4,4,4,3,7,4,5,4,6,3,6,6,5,4,5,5,3,6,3,7,2,7,7,7,7,7,5,5,4,7,6,5,7,1
EXT,184,2021-05-23 08:41:15,7,pt-BR,1421247971,2021-05-23 08:33:05,2021-05-23 08:41:15,,Feminino,30,Acima de 5 e até 10 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Pinacoteca e masp,4,7,5,5,5,6,4,2,2,1,2,7,6,4,6,7,6,6,3,5,4,6,1,1,4,5,5,5,5,1,4,4,4,4,4,5,2,6,3,7,6,7,7,7,7,7,7,6,7,7,7,7,7,1
EXT,196,2021-05-31 09:33:42,7,pt-BR,475417240,2021-05-31 09:20:34,2021-05-31 09:33:42,,Feminino,37,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Queensland Museum,4,7,6,1,5,6,5,1,6,6,6,7,7,2,6,2,6,6,4,3,3,1,1,1,6,1,3,1,3,1,1,3,6,4,4,4,1,6,3,7,7,7,7,6,6,6,6,4,3,7,5,3,5,4
INT,151,2021-06-18 13:44:45,7,pt-BR,1135385496,BqNvDPnUNtNuHky,2021-06-18 13:35:32,2021-06-18 13:44:45,Masculino,44,Acima de 15 e até 20 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,Museu de arte contemporânea,4,7,6,1,6,1,7,1,4,7,1,7,4,4,7,7,4,4,4,1,1,1,4,4,4,1,4,4,1,1,1,4,4,1,4,7,1,7,4,7,4,7,7,4,7,4,4,4,7,4,4,4,7,4
EXT,89,2021-05-18 11:45:59,7,pt-BR,1432986035,2021-05-18 11:38:15,2021-05-18 11:45:59,,Masculino,26,Acima de 3 e até 5 salários mínimos,Ensino Superior,Celular,Sim,Sim,Não,Não,Não,Não,Sim,Galeria Theodoro Braga e Galeria Benedito Nunes,4,7,7,1,7,4,6,1,3,4,1,7,7,7,4,7,5,4,1,1,1,1,5,2,1,4,5,6,6,1,4,2,5,5,5,4,3,6,5,6,4,7,7,7,7,7,5,7,1,7,7,7,7,1
INT,869,2021-06-21 13:29:13,7,pt-BR,1582867798,qruPR9Z7Z8Fc5lz,2021-06-21 13:19:48,2021-06-21 13:29:13,Masculino,21,Acima de 3 e até 5 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Sim,Não,Não,Não,Não,Sim,MASP,4,7,7,1,7,4,7,1,4,4,1,7,1,6,1,7,7,1,1,4,1,1,7,5,4,6,5,7,4,1,7,5,7,6,7,7,2,7,4,7,1,7,7,7,7,7,7,6,7,7,7,7,7,1
INT,775,2021-06-21 08:24:51,7,pt-BR,432898077,ulRHwxzpoTBd0KD,2021-06-21 08:18:59,2021-06-21 08:24:51,Feminino,22,Até 1 salário mínimo,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Sim,Sim,Sim,@elaesoababa,4,7,7,1,7,7,7,1,1,7,4,7,4,7,1,7,7,4,1,1,1,1,1,7,1,7,7,7,7,7,7,4,7,1,4,4,4,7,7,7,7,7,7,7,7,7,4,6,1,7,7,1,7,1
INT,939,2021-06-21 23:03:46,7,pt-BR,1267145451,hNxd6CWbSwT6zaL,2021-06-21 22:58:42,2021-06-21 23:03:46,Feminino,18,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Sim,Não,Sim,,4,7,7,2,7,7,7,7,3,2,3,7,6,6,7,5,7,5,1,1,2,1,1,7,7,5,7,7,7,1,7,5,4,7,7,7,1,5,5,7,2,6,7,5,5,7,4,5,7,6,7,7,7,1
INT,437,2021-06-20 07:31:31,7,pt-BR,149183474,pAiXrOMDQZmOl4t,2021-06-20 07:23:36,2021-06-20 07:31:31,Masculino,37,Acima de 1 e até 3 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,@casa7,4,7,7,5,3,7,7,7,4,7,4,3,1,3,4,4,5,1,1,1,1,1,4,1,5,7,4,4,5,1,1,4,3,7,5,7,1,7,1,7,5,7,7,5,7,5,5,7,7,7,7,7,5,1
EXT,151,2021-05-21 13:23:20,7,pt-BR,673248727,2021-05-21 13:16:40,2021-05-21 13:23:20,,Feminino,38,Acima de 15 e até 20 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Galeria Matias Brotas,4,7,7,7,7,4,4,4,4,1,4,7,7,7,7,7,6,6,1,1,4,4,7,5,5,4,7,6,7,6,4,7,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,622,2021-06-20 17:46:10,7,pt-BR,2019078111,zZNmdoQUiXwnbvP,2021-06-20 17:40:14,2021-06-20 17:46:10,Feminino,18,Até 1 salário mínimo,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,5,2,3,5,1,3,2,3,4,4,4,6,6,5,5,6,6,6,4,6,1,3,5,2,7,6,5,6,6,5,5,6,6,7,6,6,4,5,4,5,6,6,5,7,7,7,7,6,7,7,7,7,7,1
INT,677,2021-06-20 19:56:52,7,pt-BR,1180943805,r0GayXk19GDjKc6,2021-06-20 19:51:15,2021-06-20 19:56:52,Feminino,18,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,5,3,5,6,4,5,4,5,4,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,0
INT,576,2021-06-20 15:28:44,7,pt-BR,1843046155,H4pzesT0QetaQay,2021-06-20 15:22:57,2021-06-20 15:28:44,Feminino,23,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Sim,Não,Sim,"cine banguê, masp, sebo cultural",5,3,6,4,1,7,7,4,1,5,1,7,5,5,1,6,5,6,1,1,5,1,1,1,5,4,6,5,5,2,7,4,6,5,3,6,1,6,1,5,4,6,5,6,7,5,7,6,6,6,6,6,5,3
INT,649,2021-06-20 18:54:00,7,pt-BR,321033731,m2iKOnAFTae6k5E,2021-06-20 18:45:32,2021-06-20 18:54:00,Feminino,40,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Elemmental,5,4,5,4,4,4,5,3,3,3,3,4,4,5,5,5,4,4,1,1,1,4,4,2,4,4,4,5,4,4,6,4,3,5,3,3,3,4,5,7,5,7,7,6,6,6,4,5,5,5,6,5,6,3
EXT,163,2021-05-21 17:45:57,7,pt-BR,1005495339,2021-05-21 17:31:29,2021-05-21 17:45:57,,Masculino,31,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,@audio,5,5,2,1,2,5,6,3,2,3,4,6,6,5,6,7,5,6,4,5,5,3,2,1,4,4,4,4,3,2,4,5,5,4,5,2,1,3,1,4,3,6,6,5,6,5,3,4,5,4,4,4,4,2
EXT,146,2021-05-21 13:07:55,7,pt-BR,1424992498,2021-05-21 13:02:46,2021-05-21 13:07:55,,Feminino,40,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"Wb produções, MOM, Os Gêmeos",5,5,2,2,3,3,5,3,3,3,3,5,5,5,3,5,4,4,3,3,2,3,2,2,4,3,4,3,3,3,3,5,4,4,3,4,2,3,4,5,3,5,5,6,5,6,5,5,5,5,6,4,5,4
INT,860,2021-06-21 12:58:26,7,pt-BR,305865935,QcNNPlgsgS1q4rM,2021-06-21 12:49:56,2021-06-21 12:58:26,Masculino,19,Acima de 3 e até 5 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,,5,5,4,3,3,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,0
